Condition,Bearing,Sample,HI,IsTest
35Hz12kN,Bearing1_1,0,0.9982,False
35Hz12kN,Bearing1_1,1,0.9978,False
35Hz12kN,Bearing1_1,2,0.9971,False
35Hz12kN,Bearing1_1,3,0.9954,False
35Hz12kN,Bearing1_1,4,0.9941,False
35Hz12kN,Bearing1_1,5,0.993,False
35Hz12kN,Bearing1_1,6,0.992,False
35Hz12kN,Bearing1_1,7,0.991,False
35Hz12kN,Bearing1_1,8,0.9902,False
35Hz12kN,Bearing1_1,9,0.9891,False
35Hz12kN,Bearing1_1,10,0.9877,False
35Hz12kN,Bearing1_1,11,0.9858,False
35Hz12kN,Bearing1_1,12,0.9846,False
35Hz12kN,Bearing1_1,13,0.9837,False
35Hz12kN,Bearing1_1,14,0.9831,False
35Hz12kN,Bearing1_1,15,0.9822,False
35Hz12kN,Bearing1_1,16,0.9821,False
35Hz12kN,Bearing1_1,17,0.982,False
35Hz12kN,Bearing1_1,18,0.9818,False
35Hz12kN,Bearing1_1,19,0.9809,False
35Hz12kN,Bearing1_1,20,0.9813,False
35Hz12kN,Bearing1_1,21,0.9807,False
35Hz12kN,Bearing1_1,22,0.9797,False
35Hz12kN,Bearing1_1,23,0.9791,False
35Hz12kN,Bearing1_1,24,0.9786,False
35Hz12kN,Bearing1_1,25,0.9771,False
35Hz12kN,Bearing1_1,26,0.977,False
35Hz12kN,Bearing1_1,27,0.9759,False
35Hz12kN,Bearing1_1,28,0.9749,False
35Hz12kN,Bearing1_1,29,0.9746,False
35Hz12kN,Bearing1_1,30,0.9748,False
35Hz12kN,Bearing1_1,31,0.9745,False
35Hz12kN,Bearing1_1,32,0.9746,False
35Hz12kN,Bearing1_1,33,0.974,False
35Hz12kN,Bearing1_1,34,0.9747,False
35Hz12kN,Bearing1_1,35,0.9739,False
35Hz12kN,Bearing1_1,36,0.9734,False
35Hz12kN,Bearing1_1,37,0.9739,False
35Hz12kN,Bearing1_1,38,0.9738,False
35Hz12kN,Bearing1_1,39,0.9737,False
35Hz12kN,Bearing1_1,40,0.9745,False
35Hz12kN,Bearing1_1,41,0.9752,False
35Hz12kN,Bearing1_1,42,0.9742,False
35Hz12kN,Bearing1_1,43,0.9756,False
35Hz12kN,Bearing1_1,44,0.9745,False
35Hz12kN,Bearing1_1,45,0.9738,False
35Hz12kN,Bearing1_1,46,0.9738,False
35Hz12kN,Bearing1_1,47,0.9753,False
35Hz12kN,Bearing1_1,48,0.9746,False
35Hz12kN,Bearing1_1,49,0.9758,False
35Hz12kN,Bearing1_1,50,0.9762,False
35Hz12kN,Bearing1_1,51,0.9756,False
35Hz12kN,Bearing1_1,52,0.9751,False
35Hz12kN,Bearing1_1,53,0.9754,False
35Hz12kN,Bearing1_1,54,0.9741,False
35Hz12kN,Bearing1_1,55,0.9747,False
35Hz12kN,Bearing1_1,56,0.974,False
35Hz12kN,Bearing1_1,57,0.9732,False
35Hz12kN,Bearing1_1,58,0.973,False
35Hz12kN,Bearing1_1,59,0.9736,False
35Hz12kN,Bearing1_1,60,0.9734,False
35Hz12kN,Bearing1_1,61,0.9743,False
35Hz12kN,Bearing1_1,62,0.9742,False
35Hz12kN,Bearing1_1,63,0.9741,False
35Hz12kN,Bearing1_1,64,0.9732,False
35Hz12kN,Bearing1_1,65,0.9722,False
35Hz12kN,Bearing1_1,66,0.9713,False
35Hz12kN,Bearing1_1,67,0.9708,False
35Hz12kN,Bearing1_1,68,0.969,False
35Hz12kN,Bearing1_1,69,0.9675,False
35Hz12kN,Bearing1_1,70,0.9652,False
35Hz12kN,Bearing1_1,71,0.962,False
35Hz12kN,Bearing1_1,72,0.9586,False
35Hz12kN,Bearing1_1,73,0.953,False
35Hz12kN,Bearing1_1,74,0.9493,False
35Hz12kN,Bearing1_1,75,0.9418,False
35Hz12kN,Bearing1_1,76,0.9129,False
35Hz12kN,Bearing1_1,77,0.8788,False
35Hz12kN,Bearing1_1,78,0.845,False
35Hz12kN,Bearing1_1,79,0.8097,False
35Hz12kN,Bearing1_1,80,0.7765,False
35Hz12kN,Bearing1_1,81,0.7615,False
35Hz12kN,Bearing1_1,82,0.751,False
35Hz12kN,Bearing1_1,83,0.7417,False
35Hz12kN,Bearing1_1,84,0.7304,False
35Hz12kN,Bearing1_1,85,0.7179,False
35Hz12kN,Bearing1_1,86,0.7089,False
35Hz12kN,Bearing1_1,87,0.6971,False
35Hz12kN,Bearing1_1,88,0.6878,False
35Hz12kN,Bearing1_1,89,0.6809,False
35Hz12kN,Bearing1_1,90,0.6757,False
35Hz12kN,Bearing1_1,91,0.6684,False
35Hz12kN,Bearing1_1,92,0.6634,False
35Hz12kN,Bearing1_1,93,0.6574,False
35Hz12kN,Bearing1_1,94,0.6472,False
35Hz12kN,Bearing1_1,95,0.6386,False
35Hz12kN,Bearing1_1,96,0.63,False
35Hz12kN,Bearing1_1,97,0.6265,False
35Hz12kN,Bearing1_1,98,0.6193,False
35Hz12kN,Bearing1_1,99,0.6151,False
35Hz12kN,Bearing1_1,100,0.6117,False
35Hz12kN,Bearing1_1,101,0.6096,False
35Hz12kN,Bearing1_1,102,0.6036,False
35Hz12kN,Bearing1_1,103,0.6022,False
35Hz12kN,Bearing1_1,104,0.6019,False
35Hz12kN,Bearing1_1,105,0.6001,False
35Hz12kN,Bearing1_1,106,0.5982,False
35Hz12kN,Bearing1_1,107,0.598,False
35Hz12kN,Bearing1_1,108,0.595,False
35Hz12kN,Bearing1_1,109,0.5912,False
35Hz12kN,Bearing1_1,110,0.5904,False
35Hz12kN,Bearing1_1,111,0.5866,False
35Hz12kN,Bearing1_1,112,0.5824,False
35Hz12kN,Bearing1_1,113,0.58,False
35Hz12kN,Bearing1_1,114,0.5776,False
35Hz12kN,Bearing1_1,115,0.5748,False
35Hz12kN,Bearing1_1,116,0.5745,False
35Hz12kN,Bearing1_1,117,0.5692,False
35Hz12kN,Bearing1_1,118,0.5595,False
35Hz12kN,Bearing1_1,119,0.5398,False
35Hz12kN,Bearing1_1,120,0.424,False
35Hz12kN,Bearing1_1,121,0.3871,False
35Hz12kN,Bearing1_1,122,0.3331,False
35Hz12kN,Bearing1_2,0,0.9948,False
35Hz12kN,Bearing1_2,1,0.9954,False
35Hz12kN,Bearing1_2,2,0.9959,False
35Hz12kN,Bearing1_2,3,0.9968,False
35Hz12kN,Bearing1_2,4,0.9968,False
35Hz12kN,Bearing1_2,5,0.9975,False
35Hz12kN,Bearing1_2,6,0.9975,False
35Hz12kN,Bearing1_2,7,0.9972,False
